pdf_url,year,journal,Answer,id,page
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825597_wo_cover_page-4.pdf,1940,JPE,1.0,1825597,4
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825597_wo_cover_page-6.pdf,1940,JPE,1.0,1825597,6
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825597_wo_cover_page-7.pdf,1940,JPE,1.0,1825597,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-2.pdf',1941,AER,1.0,1816445,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-4.pdf',1941,AER,4.0,1816445,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-5.pdf',1941,AER,2.0,1816445,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-8.pdf',1941,AER,4.0,1816445,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-10.pdf',1941,AER,2.0,1816445,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-12.pdf',1941,AER,4.0,1816445,12
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816445_wo_cover_page-14.pdf',1941,AER,4.0,1816445,14
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883330_wo_cover_page-10.pdf',1940,QJE,1.0,1883330,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883330_wo_cover_page-14.pdf',1940,QJE,1.0,1883330,14
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816414_wo_cover_page-0.pdf',1941,AER,1.0,1816414,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907171_wo_cover_page-13.pdf',1941,ECTA,1.0,1907171,13
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824737_wo_cover_page-3.pdf,1941,JPE,1.0,1824737,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907174_wo_cover_page-5.pdf',1941,ECTA,1.0,1907174,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907194_wo_cover_page-18.pdf',1941,ECTA,1.0,1907194,18
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816428_wo_cover_page-0.pdf',1941,AER,1.0,1816428,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816428_wo_cover_page-1.pdf',1941,AER,1.0,1816428,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/365_wo_cover_page-2.pdf',1941,AER,2.0,365,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907173_wo_cover_page-3.pdf',1941,ECTA,1.0,1907173,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816429_wo_cover_page-6.pdf',1941,AER,1.0,1816429,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816429_wo_cover_page-8.pdf',1941,AER,1.0,1816429,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907173_wo_cover_page-7.pdf',1941,ECTA,1.0,1907173,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907173_wo_cover_page-14.pdf',1941,ECTA,1.0,1907173,14
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824349_wo_cover_page-2.pdf,1941,JPE,1.0,1824349,2
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824349_wo_cover_page-3.pdf,1941,JPE,1.0,1824349,3
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824349_wo_cover_page-6.pdf,1941,JPE,1.0,1824349,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967467_wo_cover_page-5.pdf',1941,RES,1.0,2967467,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967467_wo_cover_page-6.pdf',1941,RES,1.0,2967467,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967470_wo_cover_page-0.pdf',1941,RES,1.0,2967470,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967470_wo_cover_page-2.pdf',1941,RES,1.0,2967470,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906872_wo_cover_page-8.pdf',1941,ECTA,2.0,1906872,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907196_wo_cover_page-1.pdf',1941,ECTA,2.0,1907196,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907196_wo_cover_page-3.pdf',1941,ECTA,2.0,1907196,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907196_wo_cover_page-5.pdf',1941,ECTA,2.0,1907196,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967638_wo_cover_page-9.pdf',1941,RES,2.0,2967638,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967465_wo_cover_page-7.pdf',1941,RES,1.0,2967465,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967468_wo_cover_page-1.pdf',1941,RES,1.0,2967468,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967468_wo_cover_page-3.pdf',1941,RES,1.0,2967468,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883028_wo_cover_page-12.pdf',1941,QJE,1.0,1883028,12
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824615_wo_cover_page-4.pdf,1941,JPE,2.0,1824615,4
